ID,Sire,Dam,PC,yr
201681,101432,101431,168,2009
201682,100412,100411,168,2009
201691,101432,101431,169,2009
201692,100982,100981,169,2009
201711,100942,100941,171,2009
201712,101002,101001,171,2009
201721,101462,101461,172,2009
201722,100972,100971,172,2009
201731,100882,100881,173,2009
201732,100712,100711,173,2009
201741,100582,100581,174,2009
201742,100742,100741,174,2009
201751,100492,100491,175,2009
201752,100892,100891,175,2009
201761,100492,100491,176,2009
201762,102132,102131,176,2009
201771,101022,101021,177,2009
201772,100632,100631,177,2009
201781,100692,100691,178,2009
201782,101212,101211,178,2009
201791,100422,100421,179,2009
201792,100662,100661,179,2009
201801,101192,101191,180,2009
201802,100042,100041,180,2009
201811,101222,101221,181,2009
201812,101002,101001,181,2009
201821,100502,100501,182,2009
201822,NA,NA,182,2009
201831,101362,101361,183,2009
201832,101252,101251,183,2009
201841,NA,NA,184,2009
201842,102322,102321,184,2009
201851,101182,101181,185,2009
201852,100672,100671,185,2009
201861,100732,100731,186,2009
201862,102542,102541,186,2009
201871,100722,100721,187,2009
201872,NA,NA,187,2009
201881,100902,100901,188,2009
201882,100182,100181,188,2009
201891,101062,101061,189,2009
201892,101222,101221,189,2009
201901,100602,100601,190,2009
201902,100542,100541,190,2009
201911,101272,101271,191,2009
201912,102512,102511,191,2009
201921,100682,100681,192,2009
201922,100522,100521,192,2009
201931,100492,100491,193,2009
201932,102062,102061,193,2009
201941,100562,100561,194,2009
201942,NA,NA,194,2009
201951,101322,101321,195,2009
201952,100282,100281,195,2009
201961,100512,100511,196,2009
201962,100602,100601,196,2009
201971,100602,100601,197,2009
201972,102062,102061,197,2009
201981,102232,102231,198,2009
201982,100792,100791,198,2009
201991,101222,101221,199,2009
201992,100612,100611,199,2009
202001,100852,100851,200,2009
202002,NA,NA,200,2009
202021,100172,100171,202,2009
202022,100522,100521,202,2009
202031,101252,101251,203,2009
202032,100172,100171,203,2009
202041,NA,NA,204,2009
202042,100172,100171,204,2009
202051,101372,101371,205,2009
202052,NA,NA,205,2009
202061,101342,101341,206,2009
202062,100842,100841,206,2009
202071,NA,NA,207,2009
202072,102322,102321,207,2009
202081,101212,101211,208,2009
202082,100382,100381,208,2009
202091,100692,100691,209,2009
202092,100952,100951,209,2009
202101,100692,100691,210,2009
202102,100902,100901,210,2009
202111,100682,100681,211,2009
202112,100142,100141,211,2009
202121,100552,100551,212,2009
202122,101032,101031,212,2009
202131,101352,101351,213,2009
202132,101472,101471,213,2009
202141,100722,100721,214,2009
202142,101632,101631,214,2009
202151,101412,101411,215,2009
202152,101212,101211,215,2009
202161,100712,100711,216,2009
202162,102492,102491,216,2009
202171,NA,NA,217,2009
202172,100772,100771,217,2009
202181,100762,100761,218,2009
202182,100712,100711,218,2009
202191,101222,101221,219,2009
202192,101472,101471,219,2009
202201,101322,101321,220,2009
202202,101352,101351,220,2009
202211,101312,101311,221,2009
202212,100692,100691,221,2009
202221,100662,100661,222,2009
202222,100752,100751,222,2009
202231,100452,100451,223,2009
202232,NA,NA,223,2009
202241,101432,101431,224,2009
202242,100732,100731,224,2009
202251,101252,101251,225,2009
202252,101002,101001,225,2009
202261,100672,100671,226,2009
202262,101362,101361,226,2009
202271,101462,101461,227,2009
202272,101312,101311,227,2009
202281,100192,100191,228,2009
202282,101192,101191,228,2009
202291,100092,100091,229,2009
202292,100282,100281,229,2009
202301,NA,NA,230,2009
202302,102492,102491,230,2009
